-236,454
-138,493
-33,511
72,507
175,481
270,435
354,370
422,289
473,196
503,95
512,-11
499,-116
464,-216
410,-307
338,-384
252,-446
155,-488
51,-509
-55,-509
-158,-487
-255,-444
-341,-382
-412,-304
-466,-213
-499,-112
-512,-7
-503,98
-472,199
-421,292
-352,372
-268,437
-172,482
-69,507
37,511
141,492
239,453
327,394
401,318
458,229
495,130
511,25
506,-80
478,-183
431,-277
364,-360
283,-427
189,-476
87,-505
-19,-512
-123,-497
-223,-461
-313,-405
-390,-332
-450,-245
-490,-147
-510,-43
-508,62
-485,166
-440,262
-377,347
-298,417
-206,469
-105,501
0,512
106,501
206,469
298,416
378,346
441,261
485,165
508,61
510,-44
490,-148
449,-246
389,-333
312,-406
222,-461
122,-497
18,-512
-88,-504
-190,-476
-284,-426
-365,-359
-431,-276
-479,-182
-506,-79
-511,26
-495,131
-457,230
-400,319
-326,395
-238,453
-140,493
-36,511
70,507
173,482
268,436
352,372
421,291
472,198
503,97
512,-8
499,-113
465,-214
411,-305
340,-383
254,-445
157,-487
54,-509
-52,-509
-156,-488
-253,-445
-339,-384
-411,-306
-465,-215
-499,-115
-512,-10
-503,96
-473,197
-422,290
-353,371
-270,435
-174,481
-72,507
34,511
139,493
237,454
325,395
400,320
457,231
495,132
511,28
506,-78
479,-180
432,-275
366,-358
285,-426
191,-475
89,-504
-16,-512
-121,-497
-221,-462
-311,-407
-388,-334
-448,-247
-490,-150
-510,-46
-508,60
-485,163
-441,260
-379,345
-300,415
-208,468
-107,501
-2,512
103,501
204,469
296,417
376,348
439,263
484,167
508,64
510,-42
491,-146
450,-244
390,-331
314,-404
224,-460
125,-497
20,-512
-86,-505
-188,-476
-282,-428
-363,-361
-430,-278
-478,-184
-505,-82
-511,24
-496,129
-459,228
-402,317
-328,393
-240,452
-142,492
-38,511
68,507
171,483
266,437
351,373
420,293
471,201
502,99
512,-6
500,-111
466,-212
413,-303
342,-381
256,-443
159,-487
56,-509
-50,-510
-154,-488
-251,-446
